iter	Passed	Remaining
403	9263	21323
404	9286	21302
405	9310	21280
406	9332	21256
407	9356	21236
408	9378	21210
409	9401	21188
410	9424	21163
411	9444	21136
412	9468	21114
413	9489	21087
414	9513	21067
415	9537	21046
416	9560	21023
417	9583	21000
418	9605	20975
419	9625	20947
420	9646	20920
421	9668	20893
422	9688	20865
423	9710	20841
424	9730	20812
425	9753	20788
426	9775	20764
427	9797	20739
428	9818	20712
429	9839	20685
430	9859	20657
431	9880	20630
432	9900	20601
433	9921	20574
434	9945	20553
435	9968	20531
436	10002	20530
437	10026	20510
438	10047	20483
439	10068	20456
440	10089	20430
441	10110	20403
442	10129	20372
443	10148	20343
444	10171	20321
445	10194	20297
446	10213	20267
447	10233	20237
448	10252	20208
449	10271	20178
450	10291	20149
451	10309	20118
452	10328	20086
453	10346	20055
454	10367	20027
455	10388	20003
456	10410	19978
457	10429	19948
458	10449	19919
459	10468	19889
460	10487	19859
461	10506	19830
462	10525	19801
463	10544	19771
464	10563	19740
465	10584	19715
466	10606	19691
467	10625	19662
468	10645	19634
469	10664	19604
470	10684	19576
471	10703	19546
472	10721	19516
473	10741	19488
474	10760	19458
475	10779	19429
476	10800	19404
477	10822	19380
478	10845	19359
479	10867	19334
480	10888	19310
481	10912	19289
482	10935	19267
483	10957	19244
484	10980	19220
485	11000	19193
486	11022	19170
487	11044	19146
488	11066	19123
489	11088	19100
490	11110	19076
491	11132	19051
492	11153	19027
493	11176	19004
494	11199	18983
495	11224	18963
496	11249	18944
497	11273	18925
498	11296	18902
499	11318	18879
500	11341	18856
501	11364	18834
502	11386	18810
503	11407	18786
504	11430	18763
505	11453	18742
506	11476	18719
507	11496	18693
508	11519	18671
509	11541	18646
510	11563	18623
511	11588	18604
512	11612	18584
513	11636	18563
514	11658	18540
515	11690	18532
516	11721	18522
517	11745	18502
518	11768	18481
519	11790	18455
520	11810	18429
521	11832	18405
522	11854	18383
523	11877	18360
524	11901	18340
525	11923	18315
526	11945	18292
527	11965	18266
528	11989	18245
529	12013	18224
530	12036	18202
531	12058	18178
532	12082	18157
533	12105	18135
534	12128	18113
535	12151	18091
536	12173	18067
537	12195	18043
538	12216	18019
539	12237	17993
540	12257	17966
541	12278	17942
542	12300	17918
543	12322	17894
544	12341	17867
545	12363	17843
546	12383	17816
547	12407	17796
548	12429	17772
549	12450	17747
550	12472	17723
551	12493	17699
552	12516	17677
553	12537	17651
554	12556	17624
555	12576	17597
556	12596	17571
557	12619	17549
558	12641	17526
559	12663	17502
560	12685	17479
561	12707	17456
562	12729	17432
563	12750	17407
564	12772	17383
565	12792	17357
566	12813	17332
567	12832	17306
568	12852	17279
569	12874	17256
570	12897	17234
571	12920	17212
572	12941	17187
573	12961	17161
574	12982	17137
575	13004	17113
576	13026	17090
577	13047	17066
578	13069	17042
579	13092	17020
580	13123	17008
581	13157	17000
582	13183	16982
583	13206	16960
584	13226	16933
585	13248	16911
586	13268	16885
587	13288	16859
588	13308	16833
589	13331	16811
590	13355	16790
591	13377	16766
592	13400	16745
593	13422	16722
594	13445	16699
595	13466	16674
596	13488	16651
597	13509	16626
598	13531	16603
599	13552	16579
600	13577	16559
601	13600	16537
602	13621	16512
603	13642	16488
604	13665	16466
605	13687	16443
606	13709	16420
607	13732	16397
608	13755	16375
609	13777	16352
610	13800	16329
611	13822	16306
612	13843	16282
613	13864	16258
614	13885	16233
615	13908	16211
616	13929	16187
617	13950	16162
618	13974	16142
619	13997	16119
620	14020	16097
621	14044	16076
622	14065	16052
623	14088	16030
624	14111	16007
625	14131	15983
626	14152	15958
627	14177	15937
628	14198	15913
629	14220	15890
630	14242	15867
631	14264	15844
632	14285	15820
633	14308	15798
634	14328	15772
635	14350	15748
636	14372	15726
637	14394	15702
638	14419	15683
639	14440	15659
640	14464	15637
641	14484	15612
642	14505	15588
643	14527	15564
644	14548	15540
645	14570	15517
646	14592	15494
647	14615	15472
648	14646	15458
649	14679	15447
650	14706	15429
651	14729	15407
652	14750	15382
653	14773	15360
654	14795	15337
655	14816	15313
656	14838	15290
657	14860	15266
658	14883	15244
659	14905	15221
660	14926	15197
661	14949	15175
662	14971	15152
663	14994	15129
664	15016	15107
665	15039	15084
666	15063	15063
667	15086	15041
668	15107	15017
669	15129	14993
670	15149	14969
671	15170	14945
672	15193	14922
673	15214	14898
674	15236	14875
675	15261	14855
676	15285	14833
677	15307	14811
678	15331	14789
679	15352	14765
680	15374	14741
681	15395	14718
682	15417	14695
683	15440	14672
684	15464	14652
685	15487	14629
686	15508	14605
687	15532	14583
688	15555	14562
689	15578	14539
690	15599	14516
691	15622	14493
692	15644	14470
693	15664	14445
694	15688	14424
695	15710	14400
696	15733	14379
697	15755	14355
698	15776	14332
699	15797	14307
700	15819	14284
701	15841	14261
702	15862	14237
703	15886	14217
704	15908	14193
705	15932	14172
706	15967	14160
707	15995	14142
708	16019	14121
709	16041	14098
710	16062	14074
711	16085	14052
712	16106	14028
713	16129	14006
714	16153	13984
715	16178	13964
716	16198	13939
717	16219	13915
718	16241	13891
719	16260	13866
720	16281	13842
721	16301	13817
722	16319	13791
723	16338	13766
724	16360	13742
725	16381	13719
726	16403	13695
727	16424	13672
728	16445	13648
729	16466	13624
730	16489	13602
731	16510	13578
732	16532	13555
733	16554	13531
734	16575	13508
735	16596	13484
736	16621	13464
737	16643	13441
738	16664	13417
739	16685	13393
740	16707	13370
741	16729	13347
742	16750	13323
743	16783	13309
744	16811	13291
745	16838	13271
746	16862	13251
747	16886	13229
748	16909	13207
749	16933	13185
750	16957	13163
751	16982	13142
752	17007	13122
753	17031	13101
754	17054	13079
755	17078	13057
756	17099	13033
757	17120	13010
758	17142	12986
759	17162	12962
760	17185	12939
761	17213	12921
762	17243	12904
763	17269	12884
764	17293	12862
765	17314	12838
766	17334	12814
767	17356	12791
768	17378	12768
769	17401	12745
770	17424	12723
771	17447	12701
772	17467	12677
773	17491	12654
774	17512	12631
775	17533	12607
776	17554	12583
777	17573	12558
778	17591	12533
779	17611	12508
780	17632	12485
781	17656	12463
782	17679	12440
783	17701	12418
784	17721	12393
785	17742	12370
786	17764	12347
787	17784	12323
788	17805	12298
789	17824	12273
790	17846	12250
791	17868	12228
792	17888	12204
793	17910	12180
794	17933	12158
795	17956	12136
796	17979	12114
797	18004	12093
798	18030	12072
799	18051	12049
800	18072	12026
801	18095	12003
802	18118	11981
803	18139	11957
804	18161	11934
805	18182	11911
806	18205	11888
807	18226	11865
808	18248	11842
809	18269	11818
810	18292	11796
811	18315	11774
812	18335	11749
813	18354	11725
814	18378	11703
815	18399	11680
816	18424	11658
817	18447	11636
818	18473	11616
819	18505	11600
820	18531	11579
821	18555	11557
822	18577	11534
823	18599	11512
824	18623	11490
825	18644	11466
826	18667	11443
827	18689	11421
828	18711	11398
829	18733	11375
830	18754	11352
831	18776	11329
832	18797	11305
833	18818	11282
834	18838	11257
835	18857	11233
836	18878	11209
837	18900	11187
838	18922	11164
839	18946	11142
840	18967	11118
841	18992	11097
842	19014	11074
843	19033	11050
844	19052	11025
845	19071	11001
846	19091	10976
847	19114	10954
848	19136	10931
849	19158	10909
850	19181	10886
851	19203	10864
852	19226	10841
853	19247	10818
854	19268	10795
855	19289	10771
856	19311	10748
857	19334	10726
858	19356	10703
859	19377	10680
860	19400	10658
861	19423	10635
862	19448	10614
863	19471	10592
864	19493	10569
865	19517	10547
866	19538	10524
867	19566	10504
868	19600	10488
869	19628	10468
870	19649	10444
871	19670	10421
872	19690	10397
873	19709	10373
874	19730	10349
875	19752	10327
876	19773	10303
877	19794	10280
878	19812	10255
879	19833	10232
880	19854	10208
881	19875	10185
882	19895	10161
883	19917	10138
884	19941	10117
885	19962	10094
886	19986	10072
887	20009	10050
888	20031	10027
889	20052	10003
890	20074	9980
891	20095	9957
892	20117	9934
893	20137	9911
894	20159	9888
895	20183	9866
896	20205	9843
897	20227	9820
898	20249	9797
899	20271	9775
900	20291	9751
901	20311	9727
902	20330	9703
903	20348	9679
904	20368	9655
905	20390	9632
906	20411	9609
907	20434	9587
908	20455	9563
909	20477	9541
910	20500	9518
911	20521	9495
912	20543	9472
913	20564	9449
914	20587	9427
915	20609	9404
916	20645	9388
917	20674	9368
918	20697	9346
919	20721	9324
920	20742	9301
921	20762	9277
922	20781	9253
923	20802	9230
924	20825	9208
925	20848	9185
926	20872	9164
927	20894	9141
928	20915	9118
929	20935	9094
930	20957	9071
931	20977	9048
932	20996	9024
933	21018	9001
934	21040	8978
935	21063	8956
936	21085	8933
937	21107	8911
938	21129	8888
939	21151	8865
940	21172	8842
941	21192	8819
942	21214	8796
943	21237	8773
944	21260	8751
945	21283	8729
946	21305	8706
947	21326	8683
948	21348	8660
949	21369	8637
950	21388	8613
951	21408	8590
952	21428	8567
953	21451	8544
954	21472	8521
955	21495	8499
956	21519	8477
957	21541	8454
958	21561	8431
959	21581	8407
960	21600	8383
961	21619	8359
962	21640	8337
963	21662	8314
964	21693	8295
965	21721	8274
966	21747	8253
967	21771	8231
968	21796	8210
969	21816	8186
970	21837	8163
971	21859	8140
972	21880	8118
973	21903	8095
974	21925	8072
975	21947	8050
976	21969	8027
977	21991	8005
978	22011	7981
979	22031	7958
980	22050	7934
981	22072	7911
982	22094	7889
983	22116	7866
984	22138	7843
985	22159	7821
986	22181	7798
987	22201	7775
988	22221	7751
989	22239	7727
990	22258	7704
991	22278	7680
992	22301	7658
993	22323	7635
994	22346	7613
995	22367	7590
996	22389	7568
997	22411	7545
998	22434	7523
999	22455	7500
1000	22478	7477
1001	22497	7454
1002	22519	7431
1003	22540	7408
1004	22563	7386
1005	22585	7363
1006	22608	7341
1007	22630	7319
1008	22652	7296
1009	22672	7273
1010	22691	7249
1011	22713	7227
1012	22741	7206
1013	22772	7186
1014	22797	7164
1015	22818	7142
1016	22839	7118
1017	22857	7095
1018	22878	7072
1019	22898	7049
1020	22920	7026
1021	22941	7003
1022	22962	6980
1023	22983	6958
1024	23003	6934
1025	23022	6911
1026	23041	6887
1027	23063	6865
1028	23084	6842
1029	23106	6819
1030	23129	6797
1031	23155	6776
1032	23177	6753
1033	23202	6731
1034	23223	6709
1035	23244	6686
1036	23268	6664
1037	23291	6641
1038	23311	6618
1039	23332	6595
1040	23354	6573
1041	23375	6550
1042	23398	6528
1043	23420	6505
1044	23442	6483
1045	23463	6460
1046	23486	6438
1047	23506	6414
1048	23526	6391
1049	23545	6368
1050	23565	6345
1051	23588	6323
1052	23612	6301
1053	23646	6281
1054	23674	6260
1055	23697	6238
1056	23719	6215
1057	23741	6193
1058	23762	6170
1059	23783	6147
1060	23805	6125
1061	23829	6103
1062	23856	6082
1063	23881	6060
1064	23903	6037
1065	23925	6015
1066	23946	5992
1067	23970	5970
1068	23993	5947
1069	24013	5924
1070	24036	5902
1071	24057	5879
1072	24080	5857
1073	24102	5834
1074	24125	5812
1075	24147	5790
1076	24167	5767
1077	24186	5743
1078	24208	5721
1079	24229	5698
1080	24251	5675
1081	24272	5653
1082	24293	5630
1083	24316	5607
1084	24339	5585
1085	24360	5562
1086	24383	5540
1087	24405	5518
1088	24426	5495
1089	24449	5473
1090	24471	5450
1091	24509	5431
1092	24538	5410
1093	24562	5388
1094	24584	5365
1095	24605	5343
1096	24626	5320
1097	24648	5297
1098	24668	5274
1099	24691	5252
1100	24713	5230
1101	24735	5207
1102	24756	5184
1103	24779	5162
1104	24801	5139
1105	24821	5116
1106	24844	5094
1107	24866	5072
1108	24888	5049
1109	24910	5027
1110	24932	5004
1111	24952	4981
1112	24974	4958
1113	24995	4936
1114	25017	4913
1115	25040	4891
1116	25062	4868
1117	25086	4846
1118	25109	4824
1119	25129	4801
1120	25150	4778
1121	25172	4756
1122	25196	4734
1123	25215	4711
1124	25237	4688
1125	25258	4665
1126	25281	4643
1127	25316	4623
1128	25342	4601
1129	25370	4580
1130	25393	4557
1131	25413	4534
1132	25433	4512
1133	25455	4489
1134	25476	4466
1135	25499	4444
1136	25521	4421
1137	25543	4399
1138	25563	4376
1139	25585	4354
1140	25609	4331
1141	25631	4309
1142	25653	4286
1143	25675	4264
1144	25698	4241
1145	25719	4219
1146	25742	4196
1147	25765	4174
1148	25785	4151
1149	25806	4129
1150	25826	4106
1151	25847	4083
1152	25866	4060
1153	25887	4037
1154	25910	4015
1155	25931	3992
1156	25954	3970
1157	25977	3948
1158	26000	3925
1159	26020	3903
1160	26040	3880
1161	26059	3857
1162	26079	3834
1163	26099	3811
1164	26136	3791
1165	26159	3769
1166	26187	3747
1167	26209	3724
1168	26232	3702
1169	26252	3679
1170	26275	3657
1171	26297	3635
1172	26320	3612
1173	26343	3590
1174	26366	3567
1175	26387	3545
1176	26409	3522
1177	26431	3500
1178	26453	3477
1179	26476	3455
1180	26499	3433
1181	26517	3410
1182	26540	3387
1183	26562	3365
1184	26584	3342
1185	26609	3320
1186	26630	3297
1187	26649	3275
1188	26671	3252
1189	26691	3229
1190	26709	3206
1191	26729	3184
1192	26748	3161
1193	26772	3139
1194	26796	3116
1195	26819	3094
1196	26842	3072
1197	26863	3049
1198	26884	3027
1199	26904	3004
1200	26923	2981
1201	26944	2958
1202	26965	2936
1203	26989	2914
1204	27013	2891
1205	27034	2869
1206	27070	2848
1207	27094	2826
1208	27121	2804
1209	27143	2781
1210	27166	2759
1211	27187	2736
1212	27208	2714
1213	27231	2691
1214	27254	2669
1215	27276	2646
1216	27300	2624
1217	27322	2602
1218	27344	2579
1219	27364	2557
1220	27384	2534
1221	27406	2511
1222	27428	2489
1223	27450	2466
1224	27473	2444
1225	27495	2422
1226	27518	2399
1227	27538	2377
1228	27561	2354
1229	27584	2332
1230	27607	2309
1231	27630	2287
1232	27652	2265
1233	27674	2242
1234	27695	2220
1235	27718	2197
1236	27738	2175
1237	27760	2152
1238	27782	2130
1239	27803	2107
1240	27826	2085
1241	27848	2062
1242	27870	2040
1243	27899	2018
1244	27927	1996
1245	27955	1974
1246	27981	1952
1247	28003	1929
1248	28023	1907
1249	28046	1884
1250	28068	1862
1251	28091	1839
1252	28113	1817
1253	28133	1794
1254	28153	1772
1255	28171	1749
1256	28189	1726
1257	28208	1704
1258	28227	1681
1259	28247	1658
1260	28267	1636
1261	28289	1613
1262	28311	1591
1263	28333	1569
1264	28357	1546
1265	28380	1524
1266	28403	1501
1267	28425	1479
1268	28443	1456
1269	28461	1434
1270	28481	1411
1271	28504	1389
1272	28525	1366
1273	28547	1344
1274	28568	1321
1275	28586	1299
1276	28606	1276
1277	28624	1254
1278	28642	1231
1279	28660	1209
1280	28678	1186
1281	28698	1164
1282	28721	1141
1283	28745	1119
